Nome,Biografia breve,Status di partigiano,Biografia,
Laghi Oscar Di Livio,"Nato a Forlimpopoli il 22 ottobre 1923, residente a Forlì, operaio, primo di due figli.",Riconosciut partigiano dell'8° brigata con ciclo operativo dal 1 gennaio al 17 aprile 1944.,"Il primo gennaio 1944 raggiungeva l'8° brigata, durante il Grande rastrellamento d'aprile fu catturato nella valle dell'Oia e il 17 aprile 1944 fucilato con altri 16 nel cimitero di Stia.",
Laghi Paolo Di Sante,"Nato a Brisighella il 28 gennaio 1923, residente a Forlì, primo di sei figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 28 febbraio al 19 aprile 1944.,"Il 10 ottobre 1947 l'ufficio stralcio reigeva il verbale di irreperibilità, dal quale apprendiamo che durante il Grande rastrellamento d'aprile ""fu catturato durante il combattimento di S. Godendo e portato nella fortezza Dabbasso (Firenze) in seguito deportato in Germania"" dove morì, a Hamburg il 1° marzo 1945.",
Laghi Rino Di Natale,"Nato a Forlì il 13 giugno 1924, ivi residente, muratore, primo di cinque figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 15 settembre 1943 al 15 aprile 1944.,"Nome di battaglia Gorki. Fu tra gli iniziatori della lotta partigiana in pianura, partecipò alle prime azioni gappiste. Il 10 febbraio 1944 fece parte del gap che uccise in pieno giorno, il federale fascista di Forlì, Arturo Capanni. Dopo questa azione fu impossibile per lui rimanere a Forlì e si trasferì nell'8° brigata. Durante il Grande rastrellamento d'aprile, il 16, venne catturato al Muraglione e tradotto a Firenze dove venne fucilato il 3 maggio 1944.",
Lama Lelio Di Domenico,"Nato a Cesena il 14 maggio 1923, residente a Bologna, studente universitario, secondo di due figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 18 febbraio al 17 aprile 1944.,"Studente universitario del secondo anno di agraria, si disinteressò di politica sino all'8 settembre 1943. Nel gennaio 1944 quando anche agli universitari fu fatto obbligo di arruolarsi, si negò all'esercito della repubblica sociale e scelsce di divenire partigiano. Ai primi di marzo raggiunse il fratello maggiore, Luciano, nell'8° brigata. Durante il Grande rastrellamento d'aprile, con altri 16 partigiani fu fucilato nel cimitero di Stia.",
Landi Azeglio Di Renato,"Nato a Empoli il 6 dicembre 1919, ivi residente, lattoniere, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 15 settembre 1943 al 27 settembre 1944.,"Nella sua scheda personale è annotato: ""Ferito in seguito a combattimento nei pressi di Santa Sofia e in seguito decedeva all'ospedale di Empoli"" il 22 maggio 1945.",
Landi Domenico,"Fu Francesco. Nato a Sarsina il 30 novembre 1863, residente a Pieve di Rivoschio, coniugato.",Riconosciuto partigiano dell'8 brigata con ciclo operativo dal 30 settembre 1943 al 21 agosto 1944.,"Durante il rastrellamento d'agosto, Nonostante l'età molto avanzata la mattina del 20 agosto un reparto tedesco lo catturò a Pieve di Rivoschio con altri suoi concittadini e lo costrinse a marciare fino alla fornace di Meldola, meta finale dei rastrellatori. Rinchiuso in un locale, il mattino seguente fu interrogato, seviziato e alla sera fucilato asieme ad altri 17 partigiani. ",
Landi Mario,"Fu Pietro. Nato a Civitella il 24 agosto 1923, residente a Cusercoli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 16 giugno al 30 novembre 1944.,"Catturato durante il rastrellamento d'agosto; dalla sua scheda presso l'Anpi traiamo ""Il 20-8-44 in seguito un rastrellamento in località di S. Giovanni, fu portato a Meldola. Il 22-8-44 fu inviato a destinazione ignota si presume sia morto"".",
Landi Pietro Di Alfredo,"Nato a Civitella il 23 gennaio 1922, residente a Fiumana i Predappio, operaio, primo di cinque figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 febbraio al 7 aprile 1944.,"Partigiano della 1° brigata, la mattina del 7 aprile 1944 morì durante la battaglia di Calanco nei pressi di Fragheto.",
Lanini Alberto Fu Ottavio,"Nato a Firenze il 11 maggio 1922, ivi residente.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dal 10 ottobre 1943 al 22 giugno 1944.,"Arrestato da militi della gnr a S. Benedetto il 21 giugno 1944, fu rinchiuso nella locale caserma perché partigiano. ""Il giorno successivo verso le ore 10, alcuni militi della SS tedesca lo fecero salire su un camion e si diressero verso Portico. Giunti al Casetto Tancredi, in prossimità di Bocconi, lo buttarono giù dal camion, e con le mani legate com'era, gli spararono un colpo di pistola sulla testa uccidendolo e gettandolo sotto la strada"".",
Lazzarini Luigi Di Abramo,"Nato a Ventimiglia il 13 settembre 1925, residente a Pennabilli, bracciante, primo di sei figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 2 aprile al 2 luglio 1944.,"Fucilato dai tedeschi, a Casteldelci il 2 luglio 1944.",
Lepori Adolfo Fu Pietro,"Nato a Modigliana il 3 giugno 1871, ivi residente, muratore, coniugato.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dal 1 giugno 1946 al 22 novembre 1944.,"Nella scheda dell'anpi si trova scritto: ""il 12/11/44 mentre si accingeva a portare ordini fu colpito da granata"".",
Linari Urbano Di Primo,"Nato a Cesena il 14 ottobre 1907, coniugato e padre di una figlia.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 18 aprile al 22 ottobre 1944.,Morto in un'azione di sminamento il 22 ottobre 1944.,
Lippi Tonino Di Davide,"Nato a Meldola il 10 agosto 1923, residente a Gualdo di Meldola, colono, quinto di dieci figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 28 febbraio al 12 aprile 1944.,"Il 16 aprile 1944, durante il Grande rastrellamento d'aprile, nel tentativo di sottrarsi all'accerchiamento delle truppe tedesche e portarsi verso monte Gemelli venne catturato dai tedeschi e fucilato a Valdonetto.",
Liverani Rino Fu Nildo,"Nato a Dozza il 6 luglio 1926, residente a Imola, terzo di quattro figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 2 febbraio al 28 agosto 1944.,"Apparteneva alla gap e faceva parte di un gruppo di giovani marinai romagnoli che da gennaio a luglio 1944 prestò servizio al semaforo militare marittimo di Cesenatico - Porto Corsini. Quando a metà luglio i semafori militari furono smantellati, per non trasferirsi al nord, decise di disertare e di arruolarsi nell'8° brigata. Il 17 agosto, assieme agli amici si portò alla casa del colono Pieri, a Ruffio, per procedere al trasferimento verso la montagna. Traditi dalla guida che doveva condurli, alle 10 della sera furono catturati dai fascisti di Cesena e fucilati sul ponte di Ruffio.",
Lombini Antonio Di Vincenzo,"Nato a Civitella il 24 ottobre 1925, ivi residente frazione Cusercoli, operaio, secondo di due figli, celibe.",Riconosciuto partigiano dell'8° rigata con cico operativo dl 20 febbraio al 19 agosto 1944.,"Durante il rastrellamento d'agosto, il giorno 20 agosto, per sfuggire ai tedeschi in azione di rastrellamento si nascose in un rifugio all'interno del monte Alio assieme ai coetanei Marcello Lombini, Nanni Lello, Francesco Pantaleo (Scampato alla tragedia). Per scovarli i rastrellatori lanciarono bombe a mano che gli squassarono il petto e lo fecero morire dissanguato.",
Lombini Marcello Di Primo,"Nato a Civitella di Romagna il 2 marzo 1927, ivi residente in frazione Cusercoli, garzone di fornaio, primo di quattro figli, celibe",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 1 gennaio al 30 novembre 1944.,"Catturato durante il rastrellamento d'agosto fu condotto con altri 185 rastrellati alla fornace di Meldola dove, il giorno successivo 21 agosto, dopo interrogatori e sevizie fu infine fucilato.",
Lori Terzo Di Domenico,"Nato ad Alfonsine il 4 luglio 1913, operaio, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 10 novembre all'11 aprile 1944.,"Commissario politico della 12° compagnia, (comandante Amos Calderoni), il 12 aprile 1944, data d'inizio del Grande rastrellamento d'aprile, dislocata a Biserno col compito di tenere la posizione per favorire il ripiegamento della brigata verso zone più favorevoli. Il sacrificio suo e di molti altri partigiani della compagnia durante la battaglia di Biserno è definito eroico nelle pubblicazioni partigiane.",
Lotti Agostino Di Francesco,"Nato a Galeata il10 ottobre 1925, residente a Civitella di Romagna, colono, primo di due figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 12 settembre 1943 all'11 marzo 1944.,"Arrestato e percosso in frazione Seggio assieme a Massimo Fantini, e a Giovanni Valgiusti perché renitente di leva. Portato a Civitella fu poi tradotto a Forlì. Il venerdì 24 marzo venne processato e condannato a morte da un tribunale militare presieduto dal generale Boscazi. La sentenza che riguardava anche i fratelli Dino e Tonino Degli Esposti, Massimo Fantini e Giovanni Valgiusti, venne eseguita, quello stesso giorno, nella caserma Ferdinando di Savoia.",
Lucchi Attilio Fu Giacomo,"Nato a Cesena il 1 gennaio 1902, ivi residente, colono, coniugato e padre di tre figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 aprile al 27 settembre 1944.,"Giovanni Magnani e Luciano Rasi, partigiani della 29° sottoscrissero una dichiarazione per illustrarne l'attività: ""pur non appartenendo ad alcuna formazione militare partigiana, tuttavia ha attivamente collaborato con le formazioni di pianura rifornendole di armi e munizioni; il 24 settembre 1944, le brigate nere organizzarono un grande rastrellamento nella zona di case finali. Mentre si portava ad avvisare i compagni partigiani, veniva colpito da granata alleata che gli toglieva la vita all'istante"".",
Lunedei Giuseppe Fu Vincenzo,"Nato a Roncofreddo il 17 marzo 1923,",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 20 marzo al 7 ottobre 1944.,"Nella scheda biografica si legge ""deceduto il 7-10-44 in seguito a granata mentre era in servizio di staffetta"".",
Magalotti Quinto Di Enrico,"Nato a Borghi il 6 ottobre 1906, residente a Bertinoro, bracciante, coniugato e padre di quattro figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dall'11 gennaio al 18 ottobre 1944.,"Il 18 ottobre, di ritorno dalla tipografia clandestina dove aveva ritirato materiale a stampato clandestinamente, moriva mitragliato da un'aereo alleato.",
Magnani Eugenio Fu Carlo,"Nato a Cesena il 5 febbraio 1883, ivi residente, bracciante, coniugato.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 settembre al 24 dicembre 1943.,"Alle 19,10 del 24 dicembre, vigilia di Natale, al Caffè centrale di Cesena, venne ucciso il fascista Giacomo Rolandi portiere dell'Arrigoni; cinque minuti dopo all'ingresso del ristorante Torretta l'allievo ufficiale della MVSN Salvatore Leto. La rappresaglia non si fece attendere. Noto per le sue idee socialiste e fratello di Otello, ricercato perchè nel periodo dei 45 giorni di Badoglio aveva fatto parte di una commissione addetta al licenziamento dei fascisti, all'alba del giorno di Natale, alle 5,15 tre militi del 76 Battaglione Costiero Fortezza FELD PORT 40513 F. entravano in casa sua e l'uccidevano.",
Mambelli Remo Di Quinto,"Nato a Forlì il 2 giugno 1920, ivi residente, manovale, primo di tre figli, celibe.",Riconosciuto partigiano della brigata sap con ciclo operativo dal 13 giugno al 1 novembre 1944.,"Il 1 novembre 1944, nel prelevare munizioni da un deposito di Bussecchio, per trasportarle in centro città, in previsione della Liberazione, ne causò lo scoppio. Il 7 novembre moriva all'ospedale di Forlì in seguito alle ferite riportate.",
Manaresi Lorenzo Di Giuseppe,"Nato a Lugo il 28 settembre 1919, residente a Massa Lombarda, colono, quinto di otto figli. Fratello di Michele.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 10 settembre 1943 al 18 aprile 1944.,"Il 12 marzo partì da Massa Lombarda per raggiungere l'8° brigata. Durante il Grande rastrellamento d'aprile scomparve. In data 10 ottobre 1947 veniva redatto il verbale di irreperibilità ""Durante il rastrellamento dell'Aprile 1944 nel combattimento del 8 scomparve senza lasciare traccia e non fu possibile identificarne la salma""",
Manaresi Michele Di Giuseppe,"Nato a Lugo il 16 aprile 1923, residente a colono, settimo di otto figli. Celibe. Fratello di Lorenzo.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 febbraio al 19 aprile 1944.,"Durante il Grande rastrellamento di aprile, con un gruppo di altri diciassette partigiani, si rifugiò nel versante toscano, nella valle dell'Oia. Il 17 aprile 1944 venne catturato dai tedeschi e la notte fucilato al cimitero di Stia.",
Mancini Delvis Di Abramo,"Nato a Santa Sofia il 31 maggio 1925, ivi rsidente, garzone panettiere, ultimo di tre figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 26 dicembre 1943 al 4 settembre 1944.,"Caposquadra nel 2° distaccamento del 3° battaglione e vicecomandante di distaccamento. La sera del 5 settembre 1944 nel corso di un'azione di perlustrazione della strada del Carnaio, in località curva di Pianconvento, restò ucciso in combattimento.",Decorato di medagla d'argento al VM.
Mangelli Filippo Tomaso,"Nato a Bertinoro il 7 luglio 1908, ivi residente, coniugato con una figlia.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 marzo al 1 maggio 1944.,"Il 30 aprile 1944, alle ore 22, a Bertinoro venivano uccisi Renato Cortesi, reggente del fascio locale, e il vice brigadiere della guardia del duce, Livio Giunchi in servizio di vigilanza nel paese. Alle 24, giungevano a Bertinoro, militi del distaccamento della guardia del duce di Meldola, col compito di compilare una lista di dieci antifascisti da fucilare, poi ridotta a cinque. Veniva prelevato assieme ad altri quattro antifascisti e passato per le armi sul margine sinistro della via Cellamaio all'ingresso al paese.",
Maniscalco Massimo Di Gaetano,"Nato a Rossano Calabro il 13 settembre 1912, residente a Rimini, coniugato e padre di una figlia.",Riconosciuto partigiano della brigata sap con ciclo operativo dal 1 febbraio al 28 agosto 1944.,"Dalla scheda biografica dell'anpi ""Deceduto a Bologna il 28 agosto 1944 in seguito a bombardamento"".",
Mannucci Angiolo Di Gino,"Nato a Pontassieve il 10 novembre 1925, residente a Rignano sull'Arno, secondo di quattro figli, celibe.",Rionosciuto partigiano dell'8° brigata con ciclo operativo dal 1 gennaio al 13 aprile 1944.,"Inquadrato nella 12° compagnia la mattina del 12 aprile 1944, inizio del Grande rastrellamento d'aprile si schierò sul crinale di Biserno vicino alla ""croce"" a 670 mt di quota, per contrastare i tedeschi che dalla strada bidentina intendevano conquistare i crinali dove erano attestati i partigiani. Sottoposto ad intenso fuoco di mortaio, rimase ferito, ma non volle ritirarsi per rimanevere vicino all'amico Rolando Murras che aveva una gamba tranciata. I loro corpi vennero ritrovati poco sotto ""la croce"". Rimasero lì, esposti, per ordine dei tedeschi, per otto giorni.",
Maraldi Primo Di Antonio,"Nato a Cesena l'11 aprile 1926, ivi residente, colono, primo di quattro figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 13 febbraio al 10 ottobre 1944.,Cadde il 21 ottobre 1944 per lo scoppio di una granata.,
Marcianò Erardo Di Giovanni,"Nato a Forlì il 30 settembre 1909, residente a Rimini, medico, coniugato.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 2 febbraio al 28 settembre 1944.,"Il 26 settembre 1944, a Bellaria, tre tedeschi sequestrarono una ragazza e la trascinarono in una casa. Da solo, armato di fucile, cercò di liberarla. Ferito, ritentò. Una raffica lo abbattè definitivamente.",Decorato con medaglia d'argento al VM.
Marconi Paolo Di Enrico,"Nato a Rimini il 17 dicembre 1926, ivi residente, studente, primo di due fratelli.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dal 11 novembre 1943 al 22 giugno 1944.,"La sua scheda personale attesta: ""appartenente alla brigata Corbari - Spazzoli, Casadei, ferito in combattimento fu ucciso dai nazifascisti in S. Maria in Monte nei pressi di Tredozio"" il 22 giugno 1944.",
Margheritini Livio Di Virgilio,"Nato a Faenza il 7 agosto 1924, residente a Cesena, secondo di tre figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dall'8 settembre al 1943 al 20 ottobre 1944.,"La scheda redatta dall'anpi reca, il 26 gennaio 1946 moriva ""in seguito a malattia riscontrata in servizio"".",
Mariani Angelo Di Giovanni,"Nato a Bertinoro il 7 agosto 1911, ivi residente, primo di tre figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 12 febbraio al 12 agosto 1944.,"Milite della g.n.r., fucilato il 13 agosto 1944 nel cimitero di Castrocaro, per decisione di un Tribunale della brigata nera IX settembre perché accusato di fornire armi ai partigiani.",
Maroni Pino Di Cesare,Nato a Forlì il 2 novembre 1915.,Riconosciuto partigiano della 29° brigata gap con ciclo operativo dall'8 settembre al 28 ottobre 1944.,"Commissario politico del 2° distaccamento della 29° brigata gap. La sera del 5 novembre, con altri quattro partigiani, prelevava le armi e le munizioni occultate vicino al calzaturificio Zanotti che dovevano sevire al momento, ormai vicino, dell'insurrezione della città. Una pattuglia tedesca, probabilmente informata del deposito di munizioni, li sorprese. Per coprire la fuga dei suoi uomini si sacrificò.",Decorato di medaglia d'argento al VM.
Martini Sergio Spartaco Fu Claudio,"Nato a Cesena il 4 settembre 1922, ivi reidente in frzione Martorano, cementista, primo di tre fratelli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 28 febbraio al 9 aprile 1944.,"Catturato dai tedeschi nell'infermeria partigiana delle Capanne, venne fucilato dai fascisti in località Ponte Messa, il 7 aprile 1944.",
Mazzolini Marcello,"Nato a Forlì il 13 febbario 1925, ivi residente.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 gennaio al 17 aprile 1944.,"Durante il grande rastrellamento di aprile, con un gruppo di altri diciassette partigiani, si rifugiò nel versante toscano, in val d'Oia. Il mattino del 17 aprile furono catturati e la notte fucilati nel cimitero di Stia.",
Masini Ernesto Fu Antonio,"Nato a Santa Sofia il 18 gennaio 1909, ivi residete, colono, coniugato e padre di di due figli.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 6 gennaio al 6 ottobre 1944.,"L'atto di notorietà redatto nel comune di Santa Sofia in data 23 aprile 1946 attesta che ""il giorno 6 ottobre 1944 in località ""Casaova n. 3"" della parrochia di S. Giacomo del Comune di Santa Sofia, mentre usciva dalla stalla per rientrare nella propria abitazione veniva colpito al torace da due colpi di mitragliatrice tedesca, rimanendo cadavere sull'istante""",
Masini Mario Di Lorenzo,"Nato a Civitella di Romagna il 23 gennaio 1914, ivi residente, geometra, figlio unico.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 11 novembre 1943 al 3 ottobr 1944.,"Del servizio informazioni. Il 3 ottobre venne catturato da tedeschi in azione di rastrellamento in seguito all'uccisione di due commilitoni avvenuta tra Seggio e Montevecchio. Alle ore 20, di quello stesso giorno, venne fucilato asiieme a altri cinque: Angelo Biserni, Mario Masini, Lauro e Ubaldo Mengozzi, Igino Versari, alle Cave di Seggio. Nel cimitero di Montevecchio venivano fucilati fratelli Paolo e Attilio Prati.",
Massi Sirio Di Angelo,"Nato a Forlì il 18 dicembre 1924, residente in frazione Villa Rotta, secondo di tre figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 febbraio al 12 aprile 1944.,Durante il Grande rastrellamento d'aprile cadde a Ridracoli.,
Mazzavillani Adelmo Fu Aurelio,"Nato a Forlì il 14 aprile 1923, residente a San Pietro in Vincoli (RA), bracciante, celibe.",Riconosciuto partigiano con ciclo operativo dal 28 febbraio al 30 novembre 1944.,"Scomparso durante il Grande rastrellamento d'aprile. Il 10 ottobre 1947 l'ufficio stralcio compilava il verbale di irreperibilità ""in seguito al rastrellamento dell'Aprile 1944 effettuato da forze nazi-fasciste scomparve senza lasciare traccia e non fu possibile identificarne la salma""",
Mazzoni Guerrino Fu Livio,"Nato a Roma il 28 dicembre 1923, residente a Cesena, secondo di tre figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 9 febbraio al 17 aprile 1944.,"Il 12 aprile 1944, data d'inizio del Grande rastrellamento d'aprile partecipò alla battaglia di Biserno. Da quella data di lui non si ebbero più notizie. In data 14 aprile 1948, nel comune di Cesena, veniva redatto l'atto di notorietà per attestare le cause di morte, i testimoni dichiararono che fu ""disperso in combattimento il giorno 17-4-44 in Casaleto di Biserno di S. Sofia"". (La data del combattimento è errata, avvenne il 12 aprile).",
Medri Renato Di Francesco,"Nato a Cesena il 27 agosto 1920, ivi residente, secondo di quattro figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 maggio al 13 agosto 1944.,"Partigiano del distaccamento Mazzini della 29°, il 13 agosto 1944, nel corso di un rastrellamento tedesco, forse complice una spiata, venne scoperto, assieme a Primo Targhini, nel rifugio di Gattolino. Trovato in possesso di armi fu immediatamente fucilato.",
Mengozzi Baldo Fu Giovanni,"Nato a Civitella di Romagna il 1 marzo 1904, ivi residente, bracciante, coniugato e padre di due figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 4 novembre 1943 al 3 ottobre 1944.,"Staffetta dell'8° brigata. Sfollato a Seggio di Civitella, alle 16 del 3 ottobre venne catturato da tedeschi in azione di rastrellamento dopo l'uccisione di due commilitoni, avvenuta tra Seggio e Montevecchio. Alle 20, in quattro, tra questi anche il figlio Lauro, vennero scelti e fucilati alle Cave di Seggio. Al cimitero di Montevecchio venivano fucilati i fratelli Paolo e Attilio Prati contadini della zona.",
Mengozzi Lauro Di Baldo,"Nato a Civitella di Romagna il 30 ottobre 1927, ivi residente, bracciante, primo di due figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 15 ottobre 1943 al 3 ottobre 1944.,"Staffetta dell'8° brigata. Sfollato a Seggio di Civitella, alle ore 16 del 3 ottobre venne catturato da tedeschi in azione di rastrellamento dopo l'uccisione di due commilitoni, avvenuta tra Seggio e Montevecchio. Alle 20, in quattro, tra questi anche il padre Baldo, vennero scelti e fucilati alle Cave di Seggio. Al cimitero di Montevecchio venivano fucilati i fratelli Paolo e Attilio Prati contadini della zona.",
Mengozzi Luciano Di Antonio,"Nato a Modigliana il 15 dicembre 1926, ivi residente, bracciante, secondo di tre figli, celibe.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dal 30 luglio al 19 novembre 1944.,"Nella scheda personale all'anpi si trova scritto ""decedeva il 19-11-44 mentre portava ordini del comandante di distaccamento, sei giorni prima della smobilitazione""",
Mengozzi Massimo Fu Sante,"Nato a Civitella il 4 febbraio 1905, residente a Forlì, coniugato e padre di una figlia.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 10 settembre 1943 al 20 febbraio 1944.,"Il 20 febbraio 1944, mentre transitava in bicicletta in località Ricò di Meldola, fu ucciso da colpi di pistola sparati da due fascisti.",
Mercatali Ariodante Di Domenico,"Nato a Predappio l'11 febbraio 1927, ivi residente in frazione Fiumana, manovale, secondo di cinque figli, celibe.",Riconosciuto partigiane dell'8° brigata con ciclo operativo dall'8 settembre 1943 al 24 aprile 1944.,"Partigiano dell'8°, catturato, tradotto alle carceri di Forlì, veniva poi condotto ad Alessandria e fucilato il 24 aprile 1945.",
Mercatali Luigi Di Giuseppe,"Nato a Modigliana il 31 ottobre 1908, ivi residente, bracciante, coniugato e padre di due figli.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dal 1 luglio al 16 ottobre 1944.,"Partigiano della Corbari, rimaneva colpito a morte il 16 ottobre 1944.",
Mercuri Umberto Di Primo,"Nato a Forlì il 17 settembre 1905, ivi residente, celibe.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dal 26 novembre 1943 al 12 agosto 1944.,"Arrestato nel quadro dell'azione di polizia contro la ""banda Corbari, il 13 agosto 1944, interrogato e torturato dai militi della brigata nera IX settembre, si gettò dalla finestra della stanza dov'era interrogato, per non compromettere i compagni di lotta. Il suo corpo fu portato al cimitero di Castrocaro e esposto assieme ai fucilati del 12 agosto.",
Merendi Domenico Fu Giuseppe,"Nato a Cesena 9 febbraio 1898, ivi residente, falegname, coniugato e padre di tre figlie.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 gennaio al 13 maggio 1944.,"Antifascista, sorvegliato e condannato durante il ""ventennio"". Addetto ai collegamenti tra la 29° e l'8° brigata, al rientro da una missione rimaneva ucciso nel corso del bombardamento di Cesena del 13 maggio 1944.",
Mezzanotte Cesare Pasquale,"Nato a Sarsina il 16 marzo 1916, residente a Civitella di Romagna in frazione Giaggiolo, colono, coniugato e padre di una figlia.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 6 novembre 1943 al 21 agosto 1944.,"La mattina del 20 agosto fu catturato durante il rastrellamento d'agosto, portato sino alla Fornace di Meldola e rinchiuso in un locale assieme ad oltre 180 rastrellati. Il giorno dopo, fu costretto a scavarsi la fossa, e fucilato, per rappresaglia, assieme ad altre 17 persone.",
Migani Luigi Fu Agostino,"Nato a Coriano il 24 maggio1915, residente a Riccione, manovale, quattro fratelli, celibe.",Riconosciuto partigiano della brigata sap con ciclo operaivo dal 20 ottobre 1943 all'11 settembre 1944.,"L'atto di notorietà redatto nel comune di Riccione il 26 gennaio 1946 attesta: ""è deceduto il 10 settembre 1944 in seguito agli eventi bellici svoltisi in questo comune, da soldati tedeschi"".",
Milandri Primo Di Giuseppe,"Nato a Forlì il 24 ottobre 1897, celibe.",Riconosciuto partigiano della brigata sap con ciclo operativo dall'11 settembre 1943 al 15 novembre 1944.,"Partigiano della 29°, mandato in missione quando la città era già liberata, cadeva l'11 novembre 1944",
Minghelli Rino Di Adolfo,"Nato a Cesena il 23 agosto 1925, ivi residente, secondo di quattro figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 8 febbraio al 17 aprile 1944.,Caduto il 12 aprile 1944 nel corso del Grande rastrellamento d'aprile.,
"Molari Rino Di Tito,","nato a S. Antarcangelo di Romagna il 9 maggio 1911, residente a Novafeltria, insegnante, coniugato e padre di un figlio.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 13 settembre 1943 al 12 luglio 1944.,"Componente del Comitato di Liberazione di Sant'Arcangelo, arrestato a Riccione il 27 aprile 1944, fu tradotto a Cesena, poi a Bologna a disposizione delle SS. Fu torturato quindi inviato al campo di concentramento di Carpi. Fucilato il 12 luglio 1944 assieme ad altri 67.",
Mondardini Salvatore Fu Donato,"Nato a Sarsina il 19 gennaio 1862, ivi residente a Santo Stefano, agricoltore, coniugato.",Riconosciuto partigiano dell'8° brigata Garibaldi con ciclo operativo dal 10 novembre 1943 al 21 agosto 1944.,"Catturato nella sua abitazione durante il rastrellamento d'agosto, la mattina del 20. Fu poi condotto fino alla fornace di Meldola, meta finale dei rastrellatori, e rinchiuso in un locale assieme ad altri 185 rastrellati. Il giorno successivo fu interrogato e picchiato assieme agli altri di Rivoschio con l'accusa di sostenere i le formazioni partigiane. La sera dello stesso giorno, dopo essere stato costretto a scavarsi la fossa fu fucilato unitamente ad altri 17.",
Mondardini Sebastiano Di Silvio,"Nato a Sarsina 19 ottobre 1922, residente in frazione Pieve di Rivoschio, agricoltore, primo di tre fratelli.",Riconosciuto partigiano dell'8° brigata Garibaldi con ciclo operativo dal 22 novembre 1943 al 21 agosto 1944.,"Nella scheda biografica dell'Anpi è scritto: ""Fucilato il 4 ottobre 1944 da forze nazi-fasciste per rappresaglia nel Comune di Civitella di Romagna"".",
Montalti Renato Di Luigi,"Nato a Cesena il 14 luglio 1926, ivi residente, operaio, primo di dieci figli, celibe.",Riconosciuto partigiano della 29 brigata gap con ciclo operativo dal 15 settembre al 16 ottobre 1943.,"Il 16 ottobre 1943, come molte altre persone, si era portato alla caserma Amedeo di Savoia (Porta Fiume), per asportare i materiali li contenuti. Venne ucciso da un colpo di moschetto sparato da un fascista suo coetaneo.",
